Cryptocurrency,Model_Type,Model_Name,RMSE,MAE,R2
Bitcoin,Regression,Ridge,2087.5714236486974,1493.1566597100116,0.9827214543656909
Bitcoin,Regression,Lasso,2119.014070417773,1533.1009844715338,0.9821970415282387
Bitcoin,Regression,Linear,2087.62462960541,1493.201694885827,0.9827205735974872
Bitcoin,Regression,RF,17292.07325858855,11953.426092543818,-0.1855466055304269
Bitcoin,Regression,GBR,17330.46884153664,11988.572395474814,-0.19081726205918637
Bitcoin,Regression,SVR,47151.41350931025,44226.750372261755,-7.814829796332827
Bitcoin,Time-Series,ARIMA,21144.8770866538,15789.131898404416,-0.7726982982620088
Bitcoin,Time-Series,LSTM,4309.503718153473,3521.208593276515,0.9268661761499193
Ethereum,Regression,Ridge,106.02042653729141,76.01797151416274,0.968068765734414
Ethereum,Regression,Lasso,105.35141702650083,75.30120745152705,0.9684704788755226
Ethereum,Regression,Linear,106.2727743879356,76.22084226466862,0.9679165805737613
Ethereum,Regression,RF,119.51272958993376,88.67911535087701,0.9594244007269417
Ethereum,Regression,GBR,116.59191343702881,86.29595453490771,0.9613834500081085
Ethereum,Regression,SVR,440.0793099265756,332.366647752889,0.44982796243762235
Ethereum,Time-Series,ARIMA,614.3154566375711,516.8829022873604,-0.0720609993086545
Ethereum,Time-Series,LSTM,135.7595809012513,100.27290354225852,0.9494248942492639
Dogecoin,Regression,Ridge,0.013986444940689393,0.008670541870160834,0.982312385887094
Dogecoin,Regression,Lasso,0.0131739917967717,0.00821500452222738,0.9843076006400282
Dogecoin,Regression,Linear,0.013849930132652573,0.008803899685390899,0.9826559810308816
Dogecoin,Regression,RF,0.020748288876879933,0.013295763304093603,0.9610758491721042
Dogecoin,Regression,GBR,0.02299044942282131,0.014329079973497378,0.9522086281834482
Dogecoin,Regression,SVR,0.07061450942494664,0.06293955001763567,0.5491392103307438
Dogecoin,Time-Series,ARIMA,0.13486742296698012,0.09043304759300022,-0.6446318363946628
Dogecoin,Time-Series,LSTM,0.015838585154627268,0.010458272158557718,0.9779017119144595
